arabic,transliteration,english
الرحمن,Ar-Rahman,The Most Merciful
الرحيم,Ar-Rahim,The Most Beneficent
الملك,Al-Malik,The Sovereign
القدوس,Al-Quddus,The Most Holy
السلام,As-Salam,The Source of Peace
المؤمن,Al-Mu'min,The Inspirer of Faith
المهيمن,Al-Muhaymin,The Guardian
العزيز,Al-Aziz,The Victorious
الجبار,Al-Jabbar,The Compeller
المتكبر,Al-Mutakabbir,The Greatest
الخالق,Al-Khaliq,The Creator
البارئ,Al-Bari,The Maker of Order
المصور,Al-Musawwir,The Shaper of Beauty
الغفار,Al-Ghaffar,The Forgiving
القهار,Al-Qahhar,The Subduer
الوهاب,Al-Wahhab,The Giver of All
الرزاق,Ar-Razzaq,The Sustainer
الفتاح,Al-Fattah,The Opener
العليم,Al-'Aleem,The Knower of All
القابض,Al-Qaabid,The Constrictor
الباسط,Al-Baasit,The Reliever
الخافض,Al-Khaafid,The Abaser
الرافع,Ar-Raafi,The Exalter
المعز,Al-Mu'izz,The Bestower of Honors
المذل,Al-Muzil,The Humiliator
السميع,As-Sami,The Hearer of All
البصير,Al-Basir,The Seer of All
الحكم,Al-Hakam,The Judge
العدل,Al-Adl,The Just
اللطيف,Al-Latif,The Subtle One
الخبير,Al-Khabir,The All-Aware
الحليم,Al-Halim,The Forebearing
العظيم,Al-Azim,The Magnificent
الغفور,Al-Ghafoor,The Forgiver and Hider of Faults
الشكور,Ash-Shakur,The Rewarder of Thankfulness
العلى,Al-Ali,The Highest
الكبير,Al-Kabir,The Greatest
الحفيظ,Al-Hafiz,The Preserver
المقيت,Al-Muqit,The Nourisher
الحسيب,Al-Hasib,The Accounter
الجليل,Al-Jalil,The Mighty
الكريم,Al-Karim,The Generous
الرقيب,Ar-Raqib,The Watchful One
المجيب,Al-Mujib,The Responder to Prayer
الواسع,Al-Wasi,The All-Comprehending
الحكيم,Al-Hakim,The Perfectly Wise
الودود,Al-Wadud,The Loving One
المجيد,Al-Majid,The Majestic One
الباعث,Al-Ba'ith,The Resurrector
الشهيد,Ash-Shahid,The Witness
الحق,Al-Haqq,The Truth
الوكيل,Al-Wakil,The Trustee
القوى,Al-Qawiyy,The Possessor of All Strength
المتين,Al-Matin,The Forceful One
الولى,Al-Waliyy,The Governor
الحميد,Al-Hamid,The Praised One
المحصى,Al-Muhsi,The Appraiser
المبدئ,Al-Mubdi,The Originator
المعيد,Al-Mu'id,The Restorer
المحيى,Al-Muhyi,The Giver of Life
المميت,Al-Mumit,The Taker of Life
الحي,Al-Hayy,The Ever Living
القيوم,Al-Qayyum,The Self-Existing
الواجد,Al-Wajid,The Finder
الماجد,Al-Majid,The Glorious
الواحد,Al-Wahid,The One
الاحد,Al-Ahad,The Indivisible
الصمد,As-Samad,The Satisfier of All Needs
القادر,Al-Qadir,The All Powerful
المقتدر,Al-Muqtadir,The Creator of All Power
المقدم,Al-Muqaddim,The Expediter
المؤخر,Al-Mu'akhkhir,The Delayer
الأول,Al-Awwal,The First
الأخر,Al-Akhir,The Last
الظاهر,Az-Zahir,The Manifest One
الباطن,Al-Batin,The Hidden One
الوالي,Al-Wali,The Protecting Friend
المتعالي,Al-Muta'ali,The Supreme One
البر,Al-Barr,The Doer of Good
التواب,At-Tawwab,The Guide to Repentance
المنتقم,Al-Muntaqim,The Avenger
العفو,Al-Afuww,The Forgiver
الرؤوف,Ar-Ra'uf,The Clement
مالك الملك,Malik-ul-Mulk,The Owner of All
ذو الجلال و الإكرام,Dhu-l-Jalali-wal-Ikram,The Lord of Majesty and Bounty
المقسط,Al-Muqsit,The Equitable One
الجامع,Al-Jami,The Gatherer
الغنى,Al-Ghani,The Rich One
المغنى,Al-Mughni,The Enricher
المانع,Al-Mani,The Preventer of Harm
الضار,Ad-Darr,The Creator of The Harmful
النافع,An-Nafi,The Creator of Good
النور,An-Nur,The Light
الهادي,Al-Hadi,The Guide
البديع,Al-Badi,The Originator
الباقي,Al-Baqi,The Everlasting One
الوارث,Al-Warith,The Inheritor of All
الرشيد,Ar-Rashid,The Righteous Teacher
الصبور,As-Sabur,The Patient One
